Date,GRA Purchases,PRGT 1/2/,Totals,Date,TOTAL_BILLION,Date2,global_gdp_billion,total/gdp_percentage
08/31/2022,93769635059,15254184552,1.09E+11,2022,109.0238196,31-08-2022,101560.901,0.11%
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.0293757,31-12-2021,97076.276,0.11%
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.890447,31-12-2020,85440.667,0.12%
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,31-12-2019,87654.342,0.08%
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,31-12-2018,86209.627,0.07%
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,31-12-2017,81036.151,0.06%
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,31-12-2016,76211.252,0.07%
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,31-12-2015,74944.46,0.08%
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,31-12-2014,79429.015,0.10%
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,31-12-2013,77365.52,0.12%
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,31-12-2012,75196.673,0.13%
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,31-12-2011,73773.48,0.13%
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,31-12-2010,66484.526,0.09%
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,31-12-2009,60782.123,0.07%
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,31-12-2008,64162.47,0.03%
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,31-12-2007,58461.908,0.02%
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,31-12-2006,51783.269,0.03%
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,31-12-2005,47811.372,0.07%
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,31-12-2004,44134.371,0.14%
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,31-12-2003,39210.202,0.18%
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,31-12-2002,34915.511,0.20%
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,31-12-2001,33801.014,0.18%
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,31-12-2000,34053.083,0.15%
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,31-12-1999,32960.333,0.17%
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,31-12-1998,31835.015,0.21%
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,31-12-1997,31990.92,0.16%
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,31-12-1996,32079.199,0.13%
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,31-12-1995,31211.513,0.13%
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,31-12-1994,27998.304,0.11%
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,31-12-1993,26051.093,0.11%
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,31-12-1992,25339.142,0.11%
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,31-12-1991,24504.027,0.11%
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,31-12-1990,23663.342,0.10%
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,31-12-1989,20127.802,0.12%
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,31-12-1988,19131.406,0.14%
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,31-12-1987,17013.016,0.18%
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,31-12-1986,14776.085,0.24%
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,31-12-1985,12531.04,0.30%
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,31-12-1984,12001.655,0.31%
