date,closing price_$,percentage of change
 03/ 2023,224.93,-0.0621
 01/ 2022,239.82,-0.06
 01/ 2022,255.14,0.09910000000000001
 03/ 2022,232.13,-0.0033
 01/ 2022,232.9,-0.1093
 01/ 2022,261.47,-0.06860000000000001
 01/ 2022,280.74,0.0931
 01/ 2022,256.83,-0.0553
02/ 2022,271.87,-0.0204
 01/ 2022,277.52,-0.0999
 01/ 2022,308.31,0.0319
 01/ 2022,298.79,-0.0392
 03/ 2022,310.98,-0.0753
 01/ 2021,336.32,0.0173
 01/ 2021,330.59,-0.0031
 01/ 2021,331.62,0.17629999999999998
 01/ 2021,281.92,-0.0661
 02/ 2021,301.88,0.0596
 01/ 2021,284.91,0.051699999999999996
 01/ 2021,270.9,0.085
03/ 2021,249.68,-0.009899999999999999
 01/ 2021,252.18,0.0696
 01/ 2021,235.77,0.0146
 01/ 2021,232.38,0.0018
 04/ 2021,231.96,0.0429
 01/ 2020,222.42,0.039
 02/ 2020,214.07,0.057300000000000004
 01/ 2020,202.47,-0.0374
 01/ 2020,210.33,-0.0674
 03/ 2020,225.53,0.1001
 01/ 2020,205.01,0.0074
 01/ 2020,203.51,0.1106
01/ 2020,183.25,0.0225
 01/ 2020,179.21,0.1363
 02/ 2020,157.71,-0.0265
 03/ 2020,162.01,-0.0483
 02/ 2020,170.23,0.0795
 02/ 2019,157.7,0.0417
 01/ 2019,151.38,0.0559
 01/ 2019,143.37,0.031200000000000002
 03/ 2019,139.03,0.0085
 01/ 2019,137.86,0.011699999999999999
 01/ 2019,136.27,0.0172
 03/ 2019,133.96,0.08310000000000001
01/ 2019,123.68,-0.053
 01/ 2019,130.6,0.1073
 01/ 2019,117.94,0.0528
 01/ 2019,112.03,0.0728
 02/ 2019,104.43,0.0282
 03/ 2018,101.57,-0.084
 01/ 2018,110.89,0.0382
 01/ 2018,106.81,-0.0661
 04/ 2018,114.37,0.0182
 01/ 2018,112.33,0.058899999999999994
 02/ 2018,106.08,0.0758
 01/ 2018,98.61,-0.0023
01/ 2018,98.84,0.056900000000000006
 02/ 2018,93.52,0.024700000000000003
 01/ 2018,91.27,-0.026699999999999998
 01/ 2018,93.77,-0.0131
