date,closing price_$,percentage of change
 03/ 2023,10.42,0
 01/ 2022,10.42,-0.0289
 01/ 2022,10.73,0.0603
 03/ 2022,10.12,-0.0073
 01/ 2022,10.19,-0.0025
 01/ 2022,10.22,-0.0875
 01/ 2022,11.2,0.0405
 01/ 2022,10.76,-0.032
02/ 2022,11.12,-0.0242
 01/ 2022,11.4,-0.0943
 01/ 2022,12.58,-0.0104
 01/ 2022,12.71,0.0404
 03/ 2022,12.22,0.0468
 01/ 2021,11.67,0.0597
 01/ 2021,11.02,-0.0031
 01/ 2021,11.05,-0.0675
 01/ 2021,11.85,-0.0138
 02/ 2021,12.02,-0.0649
 01/ 2021,12.85,-0.1142
 01/ 2021,14.51,-0.062
03/ 2021,15.46,0.0755
 01/ 2021,14.38,0.0154
 01/ 2021,14.16,-0.082
 01/ 2021,15.42,0.0671
 04/ 2021,14.45,-0.1025
 01/ 2020,16.1,0.1349
 02/ 2020,14.19,0.0475
 01/ 2020,13.55,-0.0447
 01/ 2020,14.18,0.0524
 03/ 2020,13.47,0.2247
 01/ 2020,11,-0.0159
 01/ 2020,11.18,0.0995
01/ 2020,10.17,-0.0117
 01/ 2020,10.29,0.0655
 02/ 2020,9.66,0.1501
 03/ 2020,8.4,-0.0854
 02/ 2020,9.18,-0.0802
 02/ 2019,9.98,0.0312
 01/ 2019,9.68,0.0402
 01/ 2019,9.3,-0.0017
 03/ 2019,9.32,-0.0138
 01/ 2019,9.45,0.0229
 01/ 2019,9.24,0.0092
 03/ 2019,9.15,0.037
01/ 2019,8.83,0.0245
 01/ 2019,8.62,0.201
 01/ 2019,7.17,0.0473
 01/ 2019,6.85,-0.0803
 02/ 2019,7.45,0.1251
 03/ 2018,6.62,-0.126
 01/ 2018,7.57,-0.0322
 01/ 2018,7.83,-0.1393
 04/ 2018,9.09,0.0115
 01/ 2018,8.99,0.0534
 02/ 2018,8.53,0.0461
 01/ 2018,8.16,-0.2008
01/ 2018,10.21,-0.0274
 02/ 2018,10.5,-0.0546
 01/ 2018,11.1,-0.027
 01/ 2018,11.41,-0.0005
