expense_type,date,expenses(million yen),net sales(million yen)
"Selling, general and administrative expenses",2018,225983.0,1055682.0
"Selling, general and administrative expenses",2019,251488.0,1200560.0
"Selling, general and administrative expenses",2020,289331.0,1308519.0
"Selling, general and administrative expenses",2021,329838.0,1758910.0
"Selling, general and administrative expenses",2022,353283.0,1695344.0
Research and development expenses,2018,64032.0,1055682.0
Research and development expenses,2019,69628.0,1200560.0
Research and development expenses,2020,84159.0,1308519.0
Research and development expenses,2021,93253.0,1758910.0
Research and development expenses,2022,102199.0,1695344.0
Advertising expenses,2018,72616.0,1055682.0
Advertising expenses,2019,75421.0,1200560.0
Advertising expenses,2020,76003.0,1308519.0
Advertising expenses,2021,84450.0,1758910.0
Advertising expenses,2022,93838.0,1695344.0
