product_type,region,date,unit_volume_thousand
Hardware,Japan,,0
Hardware,Japan,,378
Hardware,Japan,,385
Hardware,Japan,,521
Hardware,Japan,,660
Hardware,Japan,,519
Hardware,The Americas,,0
Hardware,The Americas,,594
Hardware,The Americas,,688
Hardware,The Americas,,811
Hardware,The Americas,,1115
Hardware,The Americas,,876
Hardware,Europe,,0
Hardware,Europe,,379
Hardware,Europe,,455
Hardware,Europe,,534
Hardware,Europe,,715
Hardware,Europe,,602
Hardware,Other,,0
Hardware,Other,,154
Hardware,Other,,169
Hardware,Other,,237
Hardware,Other,,393
Hardware,Other,,309
of which Nintendo Switch,Japan,,0
of which Nintendo Switch,Japan,,378
of which Nintendo Switch,Japan,,385
of which Nintendo Switch,Japan,,321
of which Nintendo Switch,Japan,,478
of which Nintendo Switch,Japan,,256
of which Nintendo Switch,The Americas,,0
of which Nintendo Switch,The Americas,,594
of which Nintendo Switch,The Americas,,688
of which Nintendo Switch,The Americas,,578
of which Nintendo Switch,The Americas,,707
of which Nintendo Switch,The Americas,,522
of which Nintendo Switch,Europe,,0
of which Nintendo Switch,Europe,,379
of which Nintendo Switch,Europe,,455
of which Nintendo Switch,Europe,,400
of which Nintendo Switch,Europe,,502
of which Nintendo Switch,Europe,,404
of which Nintendo Switch,Other,,0
of which Nintendo Switch,Other,,154
of which Nintendo Switch,Other,,169
of which Nintendo Switch,Other,,185
of which Nintendo Switch,Other,,345
of which Nintendo Switch,Other,,174
Hardware_Nintendo Switch_OLED Model,Japan,,161
Hardware_Nintendo Switch_OLED Model,The Americas,,194
Hardware_Nintendo Switch_OLED Model,Europe,,112
Hardware_Nintendo Switch_OLED Model,Other,,113
of which Nintendo Switch Lite,Japan,,200
of which Nintendo Switch Lite,Japan,,181
of which Nintendo Switch Lite,Japan,,102
of which Nintendo Switch Lite,The Americas,,233
of which Nintendo Switch Lite,The Americas,,409
of which Nintendo Switch Lite,The Americas,,159
of which Nintendo Switch Lite,Europe,,134
of which Nintendo Switch Lite,Europe,,213
of which Nintendo Switch Lite,Europe,,86
of which Nintendo Switch Lite,Other,,53
of which Nintendo Switch Lite,Other,,48
of which Nintendo Switch Lite,Other,,22
Software,Japan,,0
Software,Japan,,1226
Software,Japan,,2148
Software,Japan,,3256
Software,Japan,,4502
Software,Japan,,4214
Software,The Americas,,0
Software,The Americas,,2752
Software,The Americas,,5394
Software,The Americas,,7428
Software,The Americas,,10242
Software,The Americas,,10827
Software,Europe,,0
Software,Europe,,1917
Software,Europe,,3516
Software,Europe,,5017
Software,Europe,,6624
Software,Europe,,6578
Software,Other,,0
Software,Other,,456
Software,Other,,797
Software,Other,,1171
Software,Other,,1720
Software,Other,,1888
